"ID","VLINDER","lat","lon","water20","verhard20","groen20","water50","verhard50","groen50","water100","verhard100","groen100","water250","verhard250","groen250","water500","verhard500","groen500","stad","benaming","school","sponsor"
"Do5lLMfezIdmUCzzsE0IwIbE","vlinder21","51.260389","2.991917","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000606","0.074766","0.924627","0.000180","0.107809","0.892011","De Haan","Golf","Zeelyceum","Royal Ostend Golf Club"
"WviZBVI37BRGQdtd0BFgBm7h","vlinder22","50.989501","2.856220","0.400955","0.000000","0.599045","0.598090","0.000000","0.401910","0.583697","0.000000","0.416303","0.360838","0.000000","0.639162","0.261301","0.000055","0.738644","Diksmuide","De Blankaert","‘t Saam","Natuurpunt De Blankaart"
"7u5R4nnIY5QmgbeBablX7PCd","vlinder23","51.260578","3.580151","0.000000","0.000000","1.000000","0.250351","0.000000","0.749649","0.364829","0.000350","0.634821","0.239115","0.038038","0.722847","0.149949","0.035556","0.814495","Sint-Laureins","Boerekreek","Richtpunt Eeklo","De Boerekreek"
"mmcaGqeSebmJIAOPsOfZuCs5","vlinder24","51.167015","3.572062","0.000000","0.000000","1.000000","0.000000","0.004840","0.995160","0.000000","0.023948","0.976052","0.005374","0.013661","0.980966","0.012146","0.025752","0.962102","Eeklo","Het Leen","OLV ten Doorn","Provinciaal domein Het Leen"
"wjNeGPl3OhXCsIfsIuLjKVRd","vlinder25","51.154720","3.708611","0.625997","0.000000","0.374003","0.822893","0.000000","0.177107","0.907432","0.000000","0.092568","0.961586","0.000000","0.038414","0.888300","0.001797","0.109904","Evergem","Kluizen","Einstein Atheneum","De Watergroep"
"aIbZHX6cZzv4DQbMPS5MrM57","vlinder26","51.161760","4.997653","0.000000","0.949761","0.050239","0.000000","0.898227","0.101773","0.000000","0.850258","0.149742","0.000000","0.743207","0.256793","0.000741","0.634702","0.364557","Geel","Centrum","Sint Dimpna","Stad Geel"
"ItzXCMYUzi31xyiEZpLxB7ef","vlinder27","51.058099","3.728067","0.000000","0.705882","0.294118","0.000000","0.907471","0.092529","0.000000","0.912621","0.087379","0.054345","0.826770","0.118885","0.044840","0.848480","0.106679","Gent","Ottogracht","Sec. Kunstinstituut","Stad gent"
"bZrYlw0clWwB6ZY8rBdgrbLL","vlinder28","51.035293","3.769741","0.000000","0.020651","0.979349","0.053335","0.221869","0.724796","0.134768","0.260178","0.605055","0.077326","0.152803","0.769871","0.045981","0.178302","0.775717","Gent","Gentbrugse Meersen","GO! Ath. ","Stad Gent"
"6VeMTnop5DCcops6rNVRDcBR","vlinder29","51.089413","3.784514","0.006380","0.364434","0.629187","0.018601","0.525545","0.455854","0.007450","0.608799","0.383751","0.002216","0.583383","0.414402","0.020663","0.416400","0.562937","Gent","Oostakker","Einstein Atheneum","Volvo"
"4JX1mVgdkKnn8i3ueY9aaVXA","vlinder30","51.238839","4.417377","0.000000","0.639044","0.360956","0.000000","0.830275","0.169725","0.035368","0.868112","0.096521","0.310249","0.643428","0.046324","0.336479","0.583599","0.079922","Antwerpen","Eilandje","KMI","SARWS project"
